Year,1,2,3,4,5,6,7,8,9,10,11,12
2012,3.399,3.572,3.868,3.927,3.792,3.552,3.451,3.707,3.856,3.786,3.488,3.331
2013,3.351,3.693,3.735,3.59,3.623,3.633,3.628,3.6,3.556,3.375,3.251,3.277
2014,3.32,3.364,3.532,3.659,3.691,3.695,3.633,3.481,3.403,3.182,2.887,2.56
2015,2.11,2.249,2.483,2.485,2.775,2.832,2.832,2.679,2.394,2.289,2.185,2.06
2016,1.967,1.767,1.958,2.134,2.264,2.363,2.225,2.155,2.208,2.243,2.187,2.23
2017,2.351,2.299,2.323,2.418,2.386,2.337,2.281,2.374,2.63,2.484,2.548,2.459
2018,2.539,2.575,2.572,2.737,2.907,2.914,2.873,2.862,2.873,2.887,2.671,2.414
2019,2.289,2.353,2.564,2.835,2.901,2.752,2.776,2.655,2.63,2.673,2.62,2.587
2020,2.567,2.465,2.267,1.876,1.879,2.076,2.176,2.177,2.193,2.159,2.09,2.168
2021,2.326,2.496,2.791,2.839,2.972,3.154,3.233,3.255,3.265,3.385,3.482,3.408
2022,3.413,3.592,4.312,4.271,NA,NA,NA,NA,NA,NA,NA,NA
