Year,1,2,3,4,5,6,7,8,9,10,11,12
2012,0.128,0.128,0.127,0.127,0.129,0.135,0.133,0.133,0.133,0.128,0.127,0.127
2013,0.129,0.129,0.128,0.128,0.131,0.137,0.137,0.137,0.137,0.132,0.13,0.131
2014,0.134,0.134,0.135,0.131,0.136,0.143,0.143,0.143,0.141,0.136,0.134,0.135
2015,0.138,0.138,0.136,0.137,0.137,0.143,0.142,0.142,0.141,0.136,0.134,0.133
2016,0.134,0.134,0.134,0.134,0.133,0.138,0.139,0.139,0.139,0.134,0.131,0.133
2017,0.134,0.135,0.134,0.135,0.137,0.142,0.143,0.142,0.142,0.137,0.136,0.136
2018,0.135,0.135,0.135,0.134,0.136,0.139,0.139,0.139,0.138,0.136,0.134,0.135
2019,0.135,0.136,0.135,0.135,0.136,0.139,0.14,0.139,0.139,0.136,0.133,0.133
2020,0.134,0.134,0.134,0.133,0.134,0.137,0.137,0.137,0.137,0.135,0.136,0.136
2021,0.136,0.137,0.138,0.139,0.14,0.142,0.143,0.144,0.144,0.142,0.142,0.142
2022,0.147,0.148,0.15,0.151,NA,NA,NA,NA,NA,NA,NA,NA
